offset,IA,IB,IC,D1,D2
0.0,200.0,-100.00084828918273,-149.9974551216579,0,0
312.5,200.0,-100.00084828918273,-149.9974551216579,0,0
625.0,200.0,-100.00084828918273,-149.9974551216579,0,0
937.5,200.0,-100.00084828918273,-149.9974551216579,0,0
1250.0,200.0,-100.00084828918273,-149.9974551216579,0,0
1562.5,200.0,-100.00084828918273,-149.9974551216579,0,0
1875.0,200.0,-100.00084828918273,-149.9974551216579,0,0
2187.5,200.0,-100.00084828918273,-149.9974551216579,0,0
2500.0,200.0,-100.00084828918273,-149.9974551216579,0,0
2812.5,200.0,-100.00084828918273,-149.9974551216579,0,0
3125.0,200.0,-100.00084828918273,-149.9974551216579,0,0
3437.5,200.0,-100.00084828918273,-149.9974551216579,0,0
3750.0,200.0,-100.00084828918273,-149.9974551216579,0,0
4062.5,200.0,-100.00084828918273,-149.9974551216579,0,0
4375.0,200.0,-100.00084828918273,-149.9974551216579,0,0
4687.5,200.0,-100.00084828918273,-149.9974551216579,0,0
5000.0,200.0,-100.00084828918273,-149.9974551216579,0,0
5312.5,200.0,-100.00084828918273,-149.9974551216579,0,0
5625.0,200.0,-100.00084828918273,-149.9974551216579,0,0
5937.5,200.0,-100.00084828918273,-149.9974551216579,0,0
6250.0,200.0,-100.00084828918273,-149.9974551216579,0,0
6562.5,200.0,-100.00084828918273,-149.9974551216579,0,0
6875.0,200.0,-100.00084828918273,-149.9974551216579,0,0
7187.5,200.0,-100.00084828918273,-149.9974551216579,0,0
7500.0,200.0,-100.00084828918273,-149.9974551216579,0,0
7812.5,200.0,-100.00084828918273,-149.9974551216579,0,0
8125.0,200.0,-100.00084828918273,-149.9974551216579,0,0
8437.5,200.0,-100.00084828918273,-149.9974551216579,0,0
8750.0,200.0,-100.00084828918273,-149.9974551216579,0,0
9062.5,200.0,-100.00084828918273,-149.9974551216579,0,0
9375.0,200.0,-100.00084828918273,-149.9974551216579,0,0
9687.5,200.0,-100.00084828918273,-149.9974551216579,0,0
10000.0,200.0,-100.00084828918273,-149.9974551216579,0,0
10312.5,200.0,-100.00084828918273,-149.9974551216579,0,0
10625.0,200.0,-100.00084828918273,-149.9974551216579,0,0
10937.5,200.0,-100.00084828918273,-149.9974551216579,0,0
11250.0,200.0,-100.00084828918273,-149.9974551216579,0,0
11562.5,200.0,-100.00084828918273,-149.9974551216579,0,0
11875.0,200.0,-100.00084828918273,-149.9974551216579,0,0
12187.5,200.0,-100.00084828918273,-149.9974551216579,0,0
12500.0,200.0,-100.00084828918273,-149.9974551216579,0,0
12812.5,200.0,-100.00084828918273,-149.9974551216579,0,0
13125.0,200.0,-100.00084828918273,-149.9974551216579,0,0
13437.5,200.0,-100.00084828918273,-149.9974551216579,0,0
13750.0,200.0,-100.00084828918273,-149.9974551216579,0,0
14062.5,200.0,-100.00084828918273,-149.9974551216579,0,0
14375.0,200.0,-100.00084828918273,-149.9974551216579,0,0
14687.5,200.0,-100.00084828918273,-149.9974551216579,0,0
15000.0,200.0,-100.00084828918273,-149.9974551216579,0,0
15312.5,200.0,-100.00084828918273,-149.9974551216579,0,0
15625.0,200.0,-100.00084828918273,-149.9974551216579,0,0
15937.5,200.0,-100.00084828918273,-149.9974551216579,0,0
16250.0,200.0,-100.00084828918273,-149.9974551216579,0,0
16562.5,200.0,-100.00084828918273,-149.9974551216579,0,0
16875.0,200.0,-100.00084828918273,-149.9974551216579,0,0
17187.5,200.0,-100.00084828918273,-149.9974551216579,0,0
17500.0,200.0,-100.00084828918273,-149.9974551216579,0,0
17812.5,200.0,-100.00084828918273,-149.9974551216579,0,0
18125.0,200.0,-100.00084828918273,-149.9974551216579,0,0
18437.5,200.0,-100.00084828918273,-149.9974551216579,0,0
18750.0,200.0,-100.00084828918273,-149.9974551216579,0,0
19062.5,200.0,-100.00084828918273,-149.9974551216579,0,0
19375.0,200.0,-100.00084828918273,-149.9974551216579,0,0
19687.5,200.0,-100.00084828918273,-149.9974551216579,0,0
20000.0,200.0,-100.00084828918273,-149.9974551216579,0,0
20000.0,200.0,-100.00084704564539,-149.9974569869796,0,0
20312.5,200.0,-100.00084704564539,-149.9974569869796,0,0
20625.0,200.0,-100.00084704564539,-149.9974569869796,0,0
20937.5,200.0,-100.00084704564539,-149.9974569869796,0,0
21250.0,200.0,-100.00084704564539,-149.9974569869796,0,0
21562.5,200.0,-100.00084704564539,-149.9974569869796,0,0
21875.0,200.0,-100.00084704564539,-149.9974569869796,0,0
22187.5,200.0,-100.00084704564539,-149.9974569869796,0,0
22500.0,200.0,-100.00084704564539,-149.9974569869796,0,0
22812.5,200.0,-100.00084704564539,-149.9974569869796,0,0
23125.0,200.0,-100.00084704564539,-149.9974569869796,0,0
23437.5,200.0,-100.00084704564539,-149.9974569869796,0,0
23750.0,200.0,-100.00084704564539,-149.9974569869796,0,0
24062.5,200.0,-100.00084704564539,-149.9974569869796,0,0
24375.0,200.0,-100.00084704564539,-149.9974569869796,0,0
24687.5,200.0,-100.00084704564539,-149.9974569869796,0,0
25000.0,200.0,-100.00084704564539,-149.9974569869796,0,0
25312.5,200.0,-100.00084704564539,-149.9974569869796,0,0
25625.0,200.0,-100.00084704564539,-149.9974569869796,0,0
25937.5,200.0,-100.00084704564539,-149.9974569869796,0,0
26250.0,200.0,-100.00084704564539,-149.9974569869796,0,0
26562.5,200.0,-100.00084704564539,-149.9974569869796,0,0
26875.0,200.0,-100.00084704564539,-149.9974569869796,0,0
27187.5,200.0,-100.00084704564539,-149.9974569869796,0,0
27500.0,200.0,-100.00084704564539,-149.9974569869796,0,0
27812.5,200.0,-100.00084704564539,-149.9974569869796,0,0
28125.0,200.0,-100.00084704564539,-149.9974569869796,0,0
28437.5,200.0,-100.00084704564539,-149.9974569869796,0,0
28750.0,200.0,-100.00084704564539,-149.9974569869796,0,0
29062.5,200.0,-100.00084704564539,-149.9974569869796,0,0
29375.0,200.0,-100.00084704564539,-149.9974569869796,0,0
29687.5,200.0,-100.00084704564539,-149.9974569869796,0,0
30000.0,200.0,-100.00084704564539,-149.9974569869796,0,0
30312.5,200.0,-100.00084704564539,-149.9974569869796,0,0
30625.0,200.0,-100.00084704564539,-149.9974569869796,0,0
30937.5,200.0,-100.00084704564539,-149.9974569869796,0,0
31250.0,200.0,-100.00084704564539,-149.9974569869796,0,0
31562.5,200.0,-100.00084704564539,-149.9974569869796,0,0
31875.0,200.0,-100.00084704564539,-149.9974569869796,0,0
32187.5,200.0,-100.00084704564539,-149.9974569869796,0,0
32500.0,200.0,-100.00084704564539,-149.9974569869796,0,0
32812.5,200.0,-100.00084704564539,-149.9974569869796,0,0
33125.0,200.0,-100.00084704564539,-149.9974569869796,0,0
33437.5,200.0,-100.00084704564539,-149.9974569869796,0,0
33750.0,200.0,-100.00084704564539,-149.9974569869796,0,0
34062.5,200.0,-100.00084704564539,-149.9974569869796,0,0
34375.0,200.0,-100.00084704564539,-149.9974569869796,0,0
34687.5,200.0,-100.00084704564539,-149.9974569869796,0,0
35000.0,200.0,-100.00084704564539,-149.9974569869796,0,0
35312.5,200.0,-100.00084704564539,-149.9974569869796,0,0
35625.0,200.0,-100.00084704564539,-149.9974569869796,0,0
35937.5,200.0,-100.00084704564539,-149.9974569869796,0,0
36250.0,200.0,-100.00084704564539,-149.9974569869796,0,0
36562.5,200.0,-100.00084704564539,-149.9974569869796,0,0
36875.0,200.0,-100.00084704564539,-149.9974569869796,0,0
37187.5,200.0,-100.00084704564539,-149.9974569869796,0,0
37500.0,200.0,-100.00084704564539,-149.9974569869796,0,0
37812.5,200.0,-100.00084704564539,-149.9974569869796,0,0
38125.0,200.0,-100.00084704564539,-149.9974569869796,0,0
38437.5,200.0,-100.00084704564539,-149.9974569869796,0,0
38750.0,200.0,-100.00084704564539,-149.9974569869796,0,0
39062.5,200.0,-100.00084704564539,-149.9974569869796,0,0
39375.0,200.0,-100.00084704564539,-149.9974569869796,0,0
39687.5,200.0,-100.00084704564539,-149.9974569869796,0,0
40000.0,200.0,-100.00084704564539,-149.9974569869796,0,0
40000.0,149.99999999999997,-100.00084580210826,-149.99745885230158,1,0
40312.5,149.99999999999997,-100.00084580210826,-149.99745885230158,1,0
40625.0,149.99999999999997,-100.00084580210826,-149.99745885230158,1,0
40937.5,149.99999999999997,-100.00084580210826,-149.99745885230158,1,0
41250.0,149.99999999999997,-100.00084580210826,-149.99745885230158,1,0
41562.5,149.99999999999997,-100.00084580210826,-149.99745885230158,1,0
41875.0,149.99999999999997,-100.00084580210826,-149.99745885230158,1,0
42187.5,149.99999999999997,-100.00084580210826,-149.99745885230158,1,0
42500.0,149.99999999999997,-100.00084580210826,-149.99745885230158,1,0
42812.5,149.99999999999997,-100.00084580210826,-149.99745885230158,1,0
43125.0,149.99999999999997,-100.00084580210826,-149.99745885230158,1,0
43437.5,149.99999999999997,-100.00084580210826,-149.99745885230158,1,0
43750.0,149.99999999999997,-100.00084580210826,-149.99745885230158,1,0
44062.5,149.99999999999997,-100.00084580210826,-149.99745885230158,1,0
44375.0,149.99999999999997,-100.00084580210826,-149.99745885230158,1,0
44687.5,149.99999999999997,-100.00084580210826,-149.99745885230158,1,0
45000.0,149.99999999999997,-100.00084580210826,-149.99745885230158,1,0
45312.5,149.99999999999997,-100.00084580210826,-149.99745885230158,1,0
45625.0,149.99999999999997,-100.00084580210826,-149.99745885230158,1,0
45937.5,149.99999999999997,-100.00084580210826,-149.99745885230158,1,0
46250.0,149.99999999999997,-100.00084580210826,-149.99745885230158,1,0
46562.5,149.99999999999997,-100.00084580210826,-149.99745885230158,1,0
46875.0,149.99999999999997,-100.00084580210826,-149.99745885230158,1,0
47187.5,149.99999999999997,-100.00084580210826,-149.99745885230158,1,0
47500.0,149.99999999999997,-100.00084580210826,-149.99745885230158,1,0
47812.5,149.99999999999997,-100.00084580210826,-149.99745885230158,1,0
48125.0,149.99999999999997,-100.00084580210826,-149.99745885230158,1,0
48437.5,149.99999999999997,-100.00084580210826,-149.99745885230158,1,0
48750.0,149.99999999999997,-100.00084580210826,-149.99745885230158,1,0
49062.5,149.99999999999997,-100.00084580210826,-149.99745885230158,1,0
